Cities
name, city_index, ruler, governer, strategist, population, city_order, gold, food, tax, land, cultivation, irrigation, flood_control, economic, location_x, location_y, adjacency_cities
南皮,1, 袁紹, 袁紹, 田豐, 441000, 70, 3800, 56000, 40, 60, 0, 52, 60, 430, 305, 57, 2 3
平原,2, 袁紹, 郭圖, 沮授, 388000, 50, 2350, 30000, 40, 60, 0, 43, 55, 470, 353, 87, 1 4 3 5
鄴,3, 袁紹, 文醜, 審配, 205000, 65, 3000, 53000, 40, 55, 0, 38, 55, 470, 308, 117, 2 5 6 12
北海,4, 孔融, 孔融, , 88000, 45, 1850, 29000, 40, 50, 0, 30, 58, 425, 400, 86, 2 10
濮陽,5, 呂布, 呂布, 陳宮, 173000, 60, 2000, 37000, 40, 17, 0, 33, 42, 325, 353, 132, 3
洛陽,6, 曹操, 曹操, 荀彧, 782000, 40, 3500, 65000, 40, 40, 0, 56, 60, 730, 250, 178, 3 7 12 13
弘農,7, 曹操, 夏侯惇, 滿寵, 141000, 55, 2700, 55000, 40, 55, 0, 42, 55, 580, 229, 132, 6 8
長安,8, 李傕, 李傕, 賈詡, 304000, 50, 1950, 30000, 40, 40, 0, 35, 37, 725, 182, 117, 7 13 21
天水,9, 馬騰, 馬騰, , 134000, 38, 150, 550, 40, 38, 0, 20, 48, 320, 122, 117, 8 21
下邳,10, 劉備, 劉備, , 189000, 60, 2200, 31000, 40, 40, 0, 30, 41, 425, 414, 162, 4 18 11
徐州,11, 劉備, 關羽, , 151000, 60, 2000, 29000, 40, 44, 0, 33, 42, 475, 363, 173, 5 10 17
許昌,12, , , , 514000, 50, 150, 550, 40, 50, 0, 30, 40, 720, 291, 178, 11 3 6 13 17
宛,13, 袁術, 袁術, , 404000, 70, 2650, 55000, 40, 55, 0, 42, 45, 575, 229, 209, 6 12 8
襄陽,14, 劉表, 劉表, 蒯良, 609000, 80, 2500, 52500, 40, 55, 0, 45, 46, 630, 198, 254, 13 15 16
江夏,15, 劉表, 蔡瑁, 蒯越, 143000, 45, 2300, 55000, 40, 55, 0, 45, 47, 380, 291, 239, 19 16 14
江陵,16, 劉表, 魏延, , 241000, 72, 2500, 57000, 40, 55, 0, 45, 47, 480, 245, 270, 15 14
壽春,17, 劉繇, 劉繇, , 457000, 48, 2400, 38000, 40, 41, 0, 27, 41, 525, 353, 208, 11 18 19
建業,18, 劉繇, 太史慈, , 278000, 50, 2350, 41000, 40, 45, 0, 30, 46, 475, 434, 233, 10 17 19
廬江,19, 孫策, 孫策, 周瑜, 136000, 40, 2750, 39000, 40, 40, 0, 27, 40, 375, 352, 269, 17 18 15
漢中,20, 張魯, 張魯, 閻圃, 168000, 45, 2100, 30000, 40, 50, 0, 36, 46, 625, 152, 162, 8 21
下并,21, , , , 10800, 40, 150, 550, 40, 40, 0, 35, 42, 420, 106, 178, 8 20 22 9
梓潼,22, 劉璋, 李恢, , 259000, 50, 2200, 29000, 40, 45, 0, 36, 40, 420, 155, 208, 13 20 21 23
成都,23, 劉璋, 劉璋, 張松, 367000, 68, 2850, 43000, 40, 47, 0, 45, 43, 525, 75, 254, 22 24
江州,24, 劉璋, 嚴顏, 黃權, 304000, 40, 2350, 3750, 40, 45, 0, 37, 41, 470, 121, 270, 14 23
