GeneralsAbility
name, army, navy, war_ability, intelligence, politicial_ability, charm
阿會喃, 71, 15, 65, 23, 23, 24
晏明, 55, 8, 70, 29, 36, 33
韋康, 35, 16, 22, 53, 69, 35
伊籍, 76, 68, 27, 74, 72, 69
尹楷, 45, 15, 61, 49, 37, 35
尹賞, 40, 25, 30, 35, 62, 34
尹奉, 57, 48, 64, 31, 56, 48
尹然, 25, 16, 28, 74, 79, 37
尹禮, 57, 14, 68, 46, 38, 38
于禁, 67, 13, 59, 50, 66, 47
于糜, 59, 12, 57, 22, 15, 15
袁胤, 25, 15, 28, 60, 72, 72
袁熙, 52, 25, 50, 65, 62, 45
袁術, 81, 55, 75, 68, 60, 45
袁紹, 66, 67, 73, 73, 62, 60
袁尚, 65, 29, 77, 71, 57, 44
閻象, 40, 9, 37, 71, 92, 58
袁譚, 49, 21, 52, 56, 41, 58
閻圃, 26, 6, 31, 76, 76, 55
王威, 34, 31, 44, 52, 71, 38
王允, 40, 6, 49, 57, 73, 53
王楷, 39, 12, 24, 64, 64, 34
王基, 77, 68, 65, 78, 44, 79
王匡, 55, 28, 43, 39, 29, 40
王垢, 57, 31, 66, 38, 38, 54
王伉, 55, 21, 58, 47, 69, 76
王粲, 18, 3, 21, 63, 89, 74
王子服, 56, 18, 77, 61, 55, 60
王修, 40, 14, 45, 71, 65, 65
王昌, 52, 27, 71, 44, 49, 78
王植, 59, 34, 70, 62, 51, 32
王雙, 82, 73, 98, 16, 29, 26
王則, 52, 22, 63, 57, 79, 74
王忠, 60, 25, 49, 36, 32, 40
王平, 54, 21, 49, 55, 92, 73
王甫, 66, 78, 53, 59, 70, 87
王方, 51, 29, 65, 38, 37, 39
王累, 12, 8, 24, 75, 95, 81
王朗, 39, 18, 54, 51, 58, 54
蒯越, 27, 10, 29, 81, 86, 68
蒯良, 32, 3, 33, 66, 73, 48
賈華, 54, 38, 54, 54, 57, 59
賈逵, 62, 19, 64, 60, 69, 58
華歆, 26, 14, 31, 66, 85, 24
賈詡, 89, 62, 41, 94, 93, 67
郭奕, 18, 4, 23, 55, 82, 53
郭嘉, 27, 14, 30, 80, 97, 82
郭汜, 60, 11, 59, 24, 26, 45
樂就, 60, 26, 64, 51, 43, 43
霍峻, 56, 9, 61, 64, 49, 65
郝昭, 79, 73, 89, 78, 80, 80
樂進, 76, 77, 81, 32, 23, 78
樂琳, 59, 2, 59, 36, 18, 39
郭圖, 37, 16, 42, 80, 87, 41
郝萌, 52, 18, 65, 42, 60, 63
郭攸之, 46, 37, 37, 67, 75, 72
郭淮, 60, 29, 49, 56, 66, 47
和洽, 19, 3, 27, 63, 67, 46
夏侯威, 66, 80, 72, 76, 68, 65
夏侯淵, 91, 76, 82, 65, 49, 76
夏侯恩, 59, 37, 56, 65, 59, 67
夏侯和, 80, 83, 70, 66, 58, 76
夏侯惠, 86, 70, 83, 85, 67, 74
夏侯玄, 35, 4, 41, 80, 91, 74
夏侯存, 52, 18, 62, 59, 42, 32
夏侯德, 72, 13, 76, 57, 66, 61
夏侯惇, 95, 74, 95, 70, 45, 72
夏侯霸, 81, 79, 91, 60, 64, 65
夏侯楙, 42, 4, 61, 39, 33, 21
夏侯蘭, 64, 60, 66, 57, 41, 60
賈範, 56, 33, 71, 55, 46, 71
華雄, 98, 69, 89, 22, 33, 37
韓胤, 29, 16, 50, 45, 53, 13
關羽, 98, 72, 97, 75, 58, 92
桓楷, 26, 34, 42, 45, 59, 61
毋丘儉, 64, 32, 81, 55, 43, 51
韓莒子, 49, 14, 55, 53, 44, 51
韓玄, 47, 9, 56, 29, 27, 5
韓浩, 51, 30, 55, 51, 39, 56
關興, 86, 73, 88, 77, 62, 66
關索, 76, 62, 77, 59, 68, 69
關純, 37, 37, 45, 59, 72, 36
韓遂, 69, 60, 73, 72, 66, 69
韓嵩, 36, 17, 37, 59, 73, 67
韓暹, 54, 10, 48, 45, 20, 48
闞澤, 45, 62, 47, 74, 81, 71
韓當, 51, 34, 54, 32, 63, 56
甘寧, 86, 77, 87, 50, 40, 64
韓馥, 46, 24, 47, 50, 55, 60
韓福, 65, 30, 58, 59, 32, 35
關平, 74, 78, 86, 64, 55, 65
韓猛, 56, 15, 69, 37, 48, 40
簡雍, 44, 16, 38, 78, 79, 76
顏良, 87, 74, 93, 29, 21, 57
魏延, 82, 80, 90, 52, 29, 39
麴義, 63, 24, 71, 39, 36, 55
魏續, 72, 22, 72, 42, 22, 37
牛金, 64, 62, 88, 44, 22, 53
牛輔, 52, 26, 49, 62, 62, 42
姜維, 97, 84, 88, 88, 70, 85
鞏志, 39, 18, 45, 59, 64, 46
姜敘, 77, 69, 69, 58, 36, 64
橋蕤, 70, 21, 70, 59, 46, 47
喬瑁, 65, 30, 55, 53, 38, 37
許貢, 57, 37, 65, 67, 54, 55
許汜, 15, 14, 17, 88, 52, 36
許昌, 69, 37, 70, 59, 42, 55
許靖, 11, 13, 21, 84, 83, 55
許褚, 94, 75, 96, 34, 17, 73
許攸, 36, 7, 44, 33, 15, 22
紀靈, 77, 76, 77, 30, 28, 56
金環結, 74, 28, 61, 3, 16, 14
金旋, 32, 10, 51, 17, 35, 30
虞翻, 26, 12, 47, 86, 71, 68
邢道榮, 61, 18, 69, 30, 29, 56
嚴顏, 86, 63, 92, 65, 70, 74
嚴綱, 56, 16, 64, 50, 41, 47
嚴白虎, 60, 34, 82, 46, 53, 49
嚴輿, 56, 21, 65, 52, 49, 55
吳懿, 65, 79, 75, 74, 67, 66
黃琬, 62, 21, 54, 63, 52, 44
黃蓋, 78, 89, 91, 57, 53, 91
高幹, 34, 18, 60, 38, 34, 37
耿紀, 33, 24, 44, 49, 66, 65
