GeneralsLocation
general, location, position
袁紹, 南皮, ruler
逢紀, 南皮, regular
馬延, 南皮, regular
田豐, 南皮, strategist
陳琳, 南皮, regular
陳震, 南皮, regular
張闓, 南皮, regular
淳于瓊, 南皮, regular
審榮, 南皮, regular
焦触, 南皮, regular
高覽, 南皮, regular
麴義, 南皮, regular
許攸, 南皮, regular
顏良, 南皮, regular
王修, 南皮, regular
袁尚, 南皮, regular
袁熙, 南皮, regular
郭圖, 平原, governer
沮授, 平原, strategist
高幹, 平原, regular
文醜, 鄴, governer
袁譚, 鄴, regular
張郃, 鄴, regular
荀諶, 鄴, regular
審配, 鄴, strategist
袁術, 宛, ruler
李豐, 宛, regular
梁剛, 宛, regular
雷薄, 宛, regular
陳蘭, 宛, regular
張勳, 宛, regular
紀靈, 宛, regular
橋蕤, 宛, regular
樂就, 宛, regular
韓胤, 宛, regular
袁胤, 宛, regular
孔融, 北海, ruler
劉表, 襄陽, ruler
呂公, 襄陽, regular
王威, 襄陽, regular
劉磐, 襄陽, regular
劉巴, 襄陽, regular
文聘, 襄陽, regular
傅巽, 襄陽, regular
宋忠, 襄陽, regular
韓嵩, 襄陽, regular
霍峻, 襄陽, regular
蒯良, 襄陽, strategist
蔡瑁, 江夏, regular
鄧龍, 江夏, regular
陳就, 江夏, regular
蒯越, 江夏, strategist
蔡勳, 江夏, regular
黃祖, 江夏, regular
甘寧, 江夏, governer
魏延, 江陵, governer
劉先, 江陵, regular
鄧義, 江陵, regular
孫策, 廬江, ruler
李異, 廬江, regular
程普, 廬江, regular
孫靜, 廬江, regular
桓楷, 廬江, regular
宋謙, 廬江, regular
朱治, 廬江, regular
周瑜, 廬江, strategist
黃蓋, 廬江, regular
韓當, 廬江, regular
闞澤, 廬江, regular
劉繇, 壽春, ruler
于糜, 壽春, regular
樊能, 壽春, regular
陳武, 壽春, regular
張英, 壽春, regular
蔡融, 壽春, regular
太史慈, 建業, governer
陳橫, 建業, regular
吳景, 建業, regular
曹操, 洛陽, ruler
李典, 洛陽, regular
劉延, 洛陽, regular
典韋, 洛陽, regular
陳矯, 洛陽, regular
郭嘉, 洛陽, regular
曹仁, 洛陽, regular
曹純, 洛陽, regular
曹昂, 洛陽, regular
曹洪, 洛陽, regular
荀攸, 洛陽, regular
荀爽, 洛陽, regular
荀彧, 洛陽, strategist
夏侯楙, 洛陽, regular
夏侯恩, 洛陽, regular
夏侯淵, 洛陽, regular
夏侯惇, 弘農, governer
梁寬, 弘農, regular
楊阜, 弘農, regular
毛玠, 弘農, regular
滿寵, 弘農, regular
趙昂, 弘農, regular
張燕, 弘農, regular
車胄, 弘農, regular
姜敘, 弘農, regular
樂進, 弘農, regular
尹奉, 弘農, regular
于禁, 弘農, regular
張魯, 漢中, ruler
楊柏, 漢中, regular
楊任, 漢中, regular
楊松, 漢中, regular
楊昂, 漢中, regular
閻圃, 漢中, strategist
張衛, 漢中, regular
馬騰, 天水, ruler
梁興, 天水, regular
侯選, 天水, regular
馬超, 天水, regular
馬岱, 天水, regular
馬休, 天水, regular
程銀, 天水, regular
劉璋, 成都, ruler
冷苞, 成都, regular
張松, 成都, strategist
劉璝, 成都, regular
雷銅, 成都, regular
費詩, 成都, regular
馬漢, 成都, regular
董和, 成都, regular
鄧賢, 成都, regular
劉度, 成都, regular
張任, 成都, regular
李恢, 梓潼, governer
高沛, 梓潼, regular
楊懷, 梓潼, regular
嚴顏, 江州, governer
鄒靖, 江州, regular
吳懿, 江州, regular
黃權, 江州, regular
劉備, 下邳, ruler
孫乾, 下邳, regular
糜竺, 下邳, regular
陳登, 下邳, regular
陳珪, 下邳, regular
張飛, 下邳, regular
張顗, 下邳, regular
關羽, 徐州, governer
趙雲, 徐州, strategist
糜芳, 徐州, regular
曹豹, 徐州, regular
簡雍, 徐州, regular
呂布, 濮陽, ruler
李封, 濮陽, regular
王楷, 濮陽, regular
劉岱, 濮陽, regular
陳宮, 濮陽, strategist
張遼, 濮陽, regular
藏霸, 濮陽, regular
曹性, 濮陽, regular
宋憲, 濮陽, regular
薛蘭, 濮陽, regular
侯成, 濮陽, regular
高順, 濮陽, regular
魏續, 濮陽, regular
郝萌, 濮陽, regular
王匡, 濮陽, regular
李傕, 長安, ruler
李別, 長安, regular
李暹, 長安, regular
賈詡, 長安, strategist
楊密, 長安, regular
楊奉, 長安, regular
楊彪, 長安, regular
楊琦, 長安, regular
董承, 長安, regular
張濟, 長安, regular
鐘繇, 長安, regular
朱雋, 長安, regular
左靈, 長安, regular
郭汜, 長安, regular
